Team1,Continent1,Rank1,num_champs_1,IsHost1,Team2,Continent2,Rank2,num_champs_2,IsHost2,result,result_int,world_cup,MATCH,Group
England',Europe',12,1,0,Nigeria',Africa',27,0,0,0-0',1,2002,3,F
England',Europe',12,1,0,Sweden',Europe',19,0,0,1-1',1,2002,1,F
Nigeria',Africa',27,0,0,Sweden',Europe',19,0,0,2-1',0,2002,2,F
Mexico',Concacaf',7,0,0,Croatia',Europe',21,0,0,1-0',0,2002,1,G
Mexico',Concacaf',7,0,0,Italy',Europe',6,3,0,1-1',1,2002,3,G
Mexico',Concacaf',7,0,0,Ecuador',South_America,36,0,0,2-1',0,2002,2,G
Croatia',Europe',21,0,0,Italy',Europe',6,3,0,2-1',0,2002,2,G
Croatia',Europe',21,0,0,Ecuador',South_America,36,0,0,0-1',2,2002,3,G
Italy',Europe',6,3,0,Ecuador',South_America,36,0,0,2-0',0,2002,1,G
Japan',Asia',32,0,1,Belgium',Europe',23,0,0,2-2',1,2002,1,H
Japan',Asia',32,0,1,Russia',Europe',28,0,0,1-0',0,2002,2,H
Japan',Asia',32,0,1,Tunisia',Africa',31,0,0,2-0',0,2002,0,H
Belgium',Europe',23,0,0,Tunisia',Africa',31,0,0,1-1',1,2002,2,H
Belgium',Europe',23,0,0,Russia',Europe',28,0,0,3-2',0,2002,3,H
Tunisia',Africa',31,0,0,Russia',Europe',28,0,0,0-2',2,2002,1,H
Germany',Europe',19,3,0,Costa_Rica',Concacaf',26,0,0,4-2',0,2006,1,A
Germany',Europe',19,3,0,Poland',Europe',29,0,0,1-0',0,2006,2,A
Germany',Europe',19,3,0,Ecuador',South_America,39,0,0,3-0',0,2006,3,A
Costa_Rica',Concacaf',26,0,0,Poland',Europe',29,0,0,1-2',2,2006,3,A
Costa_Rica',Concacaf',26,0,0,Ecuador',South_America,39,0,0,0-3',2,2006,2,A
Poland',Europe',29,0,0,Ecuador',South_America,39,0,0,0-2',2,2006,1,A
